id;date;hashtags;user_verified;is_retweet;Is_old_User;user_important
230;2021-02-10;['Ethereum', 'Bitcoin'];0;0;1;1
231;2021-02-10;['domain', 'domainnames', 'domainname', 'covid', 'corona', 'coronavirus', 'covid19', 'vaccination', 'vaccine'];0;0;0;0
232;2021-02-10;['BTC', 'Bitcoin'];0;0;0;0
233;2021-02-10;['ontology', 'iota'];0;0;1;0
234;2021-02-10;['btc', 'bitcoin'];0;0;0;0
235;2021-02-10;['bitcoin', 'btc', 'BTCUSD'];0;0;1;0
236;2021-02-10;['bitcoin', 'btc', 'BTCUSD'];0;0;1;0
237;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
238;2021-02-10;['btc', 'bitcoin', 'cryptocurrency'];0;0;1;0
239;2021-02-10;['btc', 'bitcoin'];0;0;1;1
240;2021-02-10;['btc'];0;0;0;0
241;2021-02-10;['BTC', 'Bitcoin'];0;0;1;0
242;2021-02-10;['bitcoin', 'cryptocurrency', 'crypto', 'blockchain', 'btc'];0;0;1;1
243;2021-02-10;['crypto', 'bitcoin'];0;0;1;0
244;2021-02-10;['domain', 'domainnames', 'domainname', 'covid', 'corona', 'coronavirus', 'covid19'];0;0;0;0
245;2021-02-10;['btc', 'Bitcoin'];0;0;1;0
246;2021-02-10;['btc', 'bitcoinnews', 'bitcoin'];0;0;1;0
247;2021-02-10;['Mailey', 'BoomerSooner'];0;0;0;0
248;2021-02-10;['Bitcoin'];0;0;1;0
249;2021-02-10;['Bitcoin', 'Breaking', 'BTC', 'BTCUSDTradingView', 'BTCUSDTTradingView', 'CryptoNews'];0;0;1;0
250;2021-02-10;['Bitcoin', 'BTC', 'dogecoin'];0;0;1;0
251;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
252;2021-02-10;['BTC', 'Bitcoin', 'Cryptocurrencies'];0;0;1;0
253;2021-02-10;['faucetbitcoin', 'bitcoin', 'btc'];0;0;1;0
254;2021-02-10;['Bitcoin', 'BTC', 'ADA', 'DOT'];0;0;1;0
255;2021-02-10;['bitcoin', 'BTC'];0;0;1;0
256;2021-02-10;['Bitcoin'];1;0;1;1
257;2021-02-10;['Patience', 'ada', 'adausdt', 'btc', 'bitcoin', 'adacoin'];0;0;1;0
258;2021-02-10;['cryptocurrency', 'NASDAQ'];0;0;1;0
259;2021-02-10;['Patience', 'ada', 'adausdt', 'btc', 'bitcoin', 'adacoin'];0;0;1;0
260;2021-02-10;['TFUEL', 'ThetaFuel', 'Binance', 'Crypto', 'Signaler', 'Signal', 'BTC', 'Bitcoin'];0;0;1;0
261;2021-02-10;['Bitcoin', 'BTC', 'crypto', 'cryptocurrency'];0;0;1;1
262;2021-02-10;['Bitcoin', 'FX', 'BTC', 'crypto'];0;0;1;0
263;2021-02-10;['BTC', 'Bitcoin'];0;0;1;1
264;2021-02-10;['Bitcoin', 'cryptocurrency'];0;0;1;0
265;2021-02-10;['Bitcoin', 'crypto', 'BTC'];0;0;1;0
266;2021-02-10;['Bitcoin', 'BTC', 'AAVE', 'DeFi', 'Crypto', 'cryptocurrency'];0;0;1;0
267;2021-02-10;['btc', 'Bitcoin'];0;0;1;0
268;2021-02-10;['bitcoin', 'crypto'];0;0;1;1
269;2021-02-10;['BTC', 'Bitcoin', 'Ethereum', 'ETH', 'Crypto', 'cryptotrading'];0;0;0;0
270;2021-02-10;['Bitcoin', 'Crypto', 'BTC'];0;0;1;0
271;2021-02-10;['Crypto', 'Binance', 'Cashback'];0;0;1;0
